,state_code,average_hesitant,average_strongly_hesitant,avg_svi,avg_vac_rollout,vac_percentage,vac_percentage_race_a,vac_percentage_race_b,vac_percentage_race_c,vac_percentage_race_d,vac_percentage_race_e,vac_percentage_race_f,total_cases,total_death
18,LA,0.24500000000000005,0.11171875000000005,0.7890625000000002,0.7420312499999999,0.17620312499999996,0.03665625,0.005679687499999998,0.008435937499999999,0.31745781250000005,0.00024062499999999998,0.6142890624999999,96760160.0,2574747.0
19,MA,0.06999999999999999,0.03142857142857143,0.32999999999999996,0.032857142857142856,0.16685714285714284,0.0929857142857143,0.002178571428571429,0.04044285714285715,0.05780714285714287,0.0004357142857142857,0.7753428571428571,123246445.0,4557568.0
20,MD,0.13125,0.03750000000000001,0.36375,0.1704166666666667,0.2171666666666667,0.06199583333333333,0.0017666666666666664,0.03365416666666667,0.1991625,0.0002708333333333334,0.6729999999999997,85909190.0,2053854.0
21,ME,0.13,0.081875,0.329375,0.31187500000000007,0.22693750000000001,0.015506250000000001,0.00815,0.00794375,0.0084125,0.00032500000000000004,0.9399500000000001,8522855.0,134009.0
22,MI,0.19843373493975902,0.07493975903614464,0.4207228915662652,0.4002409638554217,0.22712048192771087,0.03630843373493976,0.01345421686746988,0.010657831325301202,0.038150602409638565,0.00028072289156626506,0.8774518072289157,148904898.0,4296804.0
23,MN,0.11919540229885046,0.05747126436781603,0.2698850574712644,0.33091954022988496,0.26324137931034486,0.045665517241379315,0.019120689655172416,0.015264367816091957,0.017741379310344824,0.00047356321839080477,0.8821011494252877,103611717.0,1500649.0
24,MO,0.16426086956521746,0.06965217391304353,0.4962608695652175,0.7022608695652178,0.173695652173913,0.02918434782608695,0.005395652173913042,0.007213913043478259,0.03528434782608697,0.0010321739130434784,0.9026043478260874,113296562.0,1713165.0
25,MS,0.2792682926829266,0.12256097560975612,0.806951219512195,0.8795121951219514,0.17684146341463414,0.024324390243902438,0.00529268292682927,0.005269512195121952,0.4154829268292683,0.0001817073170731707,0.5393817073170732,62663191.0,1529930.0
26,MT,0.24928571428571425,0.11267857142857145,0.2819642857142858,0.3283928571428571,0.23424999999999993,0.03159464285714286,0.07862321428571427,0.006132142857142858,0.0025660714285714284,0.0006125,0.8579678571428572,19595363.0,258733.0
27,NC,0.18609999999999993,0.07370000000000004,0.6613,0.6313000000000002,0.20274000000000003,0.073345,0.015886,0.011864,0.20091300000000004,0.0004550000000000001,0.6773660000000001,170448289.0,2326314.0
28,ND,0.29245283018867907,0.19169811320754715,0.16641509433962265,0.16584905660377353,0.25532075471698124,0.03121886792452831,0.06533396226415092,0.005611320754716981,0.009981132075471699,0.0006075471698113208,0.8692377358490564,21424065.0,299772.0
